,date,score,review
0,2024.06.12,5,티파니 영이.... 티파니 영이 이렇게 잘하시는 줄은몰랐어요...오늘 보고 놀랐 습니다....
1,2024.06.09,5,최정원 티파니 시카고 처음보는데 진짜  재밌네요최정원배우는 등장부터 아우라가..너무 멋있어요!티파니는 춤도 노래도 너무 잘해요.다들 너무 잘해서 또 보러 가려고해요
2,2024.06.10,5,"에이모스 너무 귀여운 거 시카고에 등장하는 모든 넘버(노래)가 다 좋지만...제가 제일 좋아하는 건 '미스터 셀로판'입니다.""셀로판~ 미스터 셀로판~ 그게 내 이름 미스터 셀로판~""앙상블의 단체 군무 없이 에이모스 혼자 부르는 것도 넘 처량한데, 그 넘버 부를 때 보면 다른 출연자분들 다 고개 돌리고 에이모스를 쳐다도 안보더라구요ㅋㅋㅋㅋㅋㅋ 처량함의 극치ㅋㅋㅋㅋㅋㅋ퇴장음악 없는 것도 웃픔ㅋㅋㅋㅋㅋㅋ근데 그런 분위기와 별개로 노래 자체가 완전 좋아요.에이모스가 혼자 부를 때도 짱 좋고,공연 마지막에 오케스트라 연주자들이 다 일어나서 흥겹게 연주할 때도 넘 좋아요.시카고의 모든 넘버를 사랑하지만, 미스터 셀로판이 제일 좋은 거 같아요.에이모스 기다려, 또 보러 갈게~!!""모두 날 보질 못해 그냥 지나쳐 없는 것처럼"""
3,2024.06.08,5,완벽했던 나의 다들 말해뭐해 날라댕기시던데 프리뷰니깐 음향이 조금 안들렸던거 빼고는 완벽 그자체????박건형배우님 김경선 배우님 티파니배우님 최정원 배우님 진짜 다 너무 잘하셨음 한달뒤에 보면 얼마나 더 잘하실까..또보러가야지그리고 갓정원쌤 애드립이 진짜 ㅋㅋㅋ 구걸쇼에서 티파니배우님이 별로라는듯이 푸우우 침튀기듯이 연기했는데 어우 시원해 미스트~ 이러는데 진짜 빵터졌네 ㅋㅋㅋ시카고는 사랑입니다 얼마나 n차관람을 시키실려고…미세하게 춤도 바뀐거같구 앙상블분들도 꽤 바뀐거같은데 좀더 시간지나면 앙상블분들도 최고의 호흡이될거같아요!
4,2024.06.16,5,"티파니 윤 정말.. 예매하기 힘들었어요.매일 ㅛ매일 취소표 기다리다가 5열 겨우 예매해서 봤네요.그래도 고생한만큼 만족스러웠어요 :>얄밉고 맹랑하지만 사랑스러운 록시가 좋았고노래도 춤도 연기도 뭐 하나 빠지는 것 없이 능숙했던 벨마와 매력적인 빌리까지 정말 최고였어요.가장 인상적이었던 넘버는 <Me & My Baby>였는데,임신한 스스로에 몰입한 록시의 광기가 정말 인상적이었어요.그리고 조명을 활용한 교수형 연출과 오케스트라가 무대에 참여하는 연출이 기억에 남네요. 너무 좋았어요.다음에도 볼 수 있는 기회가 생겼으면 좋겠네요 :)"
5,2024.06.14,5,사람들이 하도 시카고시카고 해서 봤더니 시카고 시카고
6,2024.06.15,5,"티파니의 록시에 심장이 티파니 록시 너무 귀엽잖아요록시의 바보같으면서 귀엽고 예쁜 매력이 그대로 보여서 너무 좋았습니다 최재림 님은 말할것도 없고, 벨마의 윤공주 님..! 안정적으로 극을 끌어가주신거같아요 잘봤습니다 다음에 또만나요"
7,2024.06.12,5,티파니영 록시 2년전 시카고때랑은 다른 수준의 록시를 만나 볼 수 있음...  파니야 첫공인데도 너무 잘해서 ㅠㅠㅠ 이 언니는 눈물이 앞을가려 공연을 제대로 볼수가 없었단다 ㅠㅠㅠ 우리 록티 2학년 오져따리 ㅠ
8,2024.06.12,5,시카고 화려하 윤공주 배우님 티파니 배우님 박건형 배우님 회차로 봤습니다. 생각보다 더 치열했던 티켓팅을 뚫고 간 뮤지컬이라 그런지 기대감이 조금 상승 된 채로 관람을 했습니다. ....! 기대에 부응한 뮤지컬이었습니다. 윤공주 배우님의 벨마와 티파니배우님의 록시의 케미는 생각보다 더 빛났고 박건형 배우님 또한 노련한 빌리를 잘 표현해주셔서 너무 너무 보는 내내 행복했습니다.. 그래서.. 9월 안에 한 번 더 볼 예정입니다. 초반부터 이러시니 회전문 돌 수 밖에 없죠... 앙상블과 조연배우님 또한 구멍이 하나없는 무대는 단조로웠지만 화려하게 빛나는 뮤지컬 시카고.. 재밌게 잘 감상했습니다 !
9,2024.06.08,5,모두의 존재감이 빛났던 긴시간 앉아있어서 엉덩이가 아파도 어깨가 아파도 절대 지루하지않은 눈을 뗄 수 없는 공연이었어요 특히나 저는 에이모스 솔로넘버에서 눈물 또르륵.. ㅠㅠ 생각치못한 감수성까지 터트려버렸어요 에이모스! 가장 존재감이 빛났다구ㅠㅜ
10,2024.06.13,5,박건형빌리! 못할짓한거 박건형 빌리 의심한 나! 못할짓 한거 알아요너무 멋있으셔서 반해버렸어요♡저처럼 의심하신분들 그냥 빨리 다녀오세요
11,2024.06.10,5,처음 시카고 봤는 유튜브 알고리즘으로 접하게 됐는데 재밌게 봤어요 뒷자석이었는데도 전체적으로 다 보이고 만족스러운 공연이었습니다  재밌어서 또 보려고 예매했어요!
12,2024.06.09,5,걱정했던 선 선공개되었던 유투브영상에 선아배우님에 대한 악플이 너무 많아서 원래 팬이었던 저조차 걱정되었는데 오프닝 올댓재즈가 끝나자마자 너무 감동적이어서 눈물이 났어요ㅠㅠ 평소 맡으시던 역할과 너무 다른 배역이라 상상이 안갔는데 올댓재즈와 함께 그냥 벨바 그자체가 되버리는데 소름이 돋고 감동적이어서 눈물이 안날수가 없었습니다. 민경아 배우님 공연도 처음이었는데 영화속에서 본 철부지 록시였어요ㅎㅎ 두번 세번 또 보고싶은데 티켓 구하기가 너무 힘들어요ㅠㅠㅠ 안보신 분들은 꼭 보세요??????
