basedate,nmrsshr,nmrs,amount,prfdtcnt,prfprocnt,amountshr,cate
20190101,17.6,2017759,31439251409,41509,1724,6.9,         연극    
20190101,40,4594530,1.84E+11,32806,2286,40.1,        뮤지컬   
20190101,12.5,1440513,23750519644,4183,3736,5.2,  서양음악(클래식) 
20190101,2.6,293581,2885579680,1641,653,0.6,   한국음악(국악) 
20190101,21.2,2430848,2.00E+11,3684,2473,43.8,       대중음악   
20190101,4.1,475536,11326907961,1499,548,2.5,무용(서양/한국무용)
20190101,0.1,6544,35082000,36,25,0,       대중무용   
20190101,1.1,121298,3419927962,2009,291,0.7,     서커스/마술  
20190101,0.9,97910,889582550,459,177,0.2,         복합    
20200101,21.7,1069410,17845276861,31437,1175,8,         연극    
20200101,52,2565810,1.45E+11,17353,782,65.3,        뮤지컬   
20200101,11.8,581975,12705869274,2689,2421,5.7,  서양음악(클래식) 
20200101,1.2,61115,581299500,772,333,0.3,   한국음악(국악) 
20200101,10.7,527503,43513587918,1343,839,19.5,       대중음악   
20200101,1.5,75043,1603916720,468,257,0.7,무용(서양/한국무용)
20200101,0,1802,12789500,11,11,0,       대중무용   
20200101,0.6,31822,772670550,2107,82,0.3,     서커스/마술  
20200101,0.4,17919,301031600,254,107,0.1,         복합    
20210101,18.2,1487012,25482514997,30507,1894,6.3,         연극    
20210101,46.8,3825795,2.36E+11,20885,1521,58.6,        뮤지컬   
20210101,16.7,1363181,40128100931,6135,5500,10,  서양음악(클래식) 
20210101,2,167611,2363977180,1504,841,0.6,   한국음악(국악) 
20210101,10.7,878322,84728197186,2445,1588,21,       대중음악   
20210101,3.5,289775,7102972210,1191,656,1.8,무용(서양/한국무용)
20210101,0.4,32865,3679823300,27,16,0.9,       대중무용   
20210101,1,83353,2745330072,2942,157,0.7,     서커스/마술  
20210101,0.6,52588,611263620,637,201,0.2,         복합    
20220101,15.3,2818642,46398119219,42639,2500,4.5,         연극    
20220101,40,7365697,4.28E+11,32305,2680,41.4,        뮤지컬   
20220101,13.4,2470029,67910205675,7683,6921,6.6,  서양음악(클래식) 
20220101,2,374275,6105647670,2000,1091,0.6,   한국음악(국악) 
20220101,23.8,4372879,4.56E+11,4751,3064,44.1,       대중음악   
20220101,2.9,539587,14594266310,1446,783,1.4,무용(서양/한국무용)
20220101,0.3,48545,3932477750,71,52,0.4,       대중무용   
20220101,1.5,282494,9256849400,5581,355,0.9,     서커스/마술  
20220101,0.7,133840,2046217957,1500,298,0.2,         복합    
20230101,12.9,2717262,63210146976,49491,2619,5,         연극    
20230101,38.4,8074984,4.61E+11,39051,3095,36.2,        뮤지컬   
20230101,14.7,3086243,1.00E+11,8878,7759,7.9,  서양음악(클래식) 
20230101,2,413088,4716267660,1986,1191,0.4,   한국음악(국악) 
20230101,24.6,5166234,5.78E+11,5900,3607,45.4,       대중음악   
20230101,2.8,591314,18849052812,1536,820,1.5,무용(서양/한국무용)
20230101,0.3,53457,4706080300,74,56,0.4,       대중무용   
20230101,3.3,693934,39986258165,8792,589,3.1,     서커스/마술  
20230101,1.1,232924,3336795362,1163,425,0.3,         복합    
